==4803== NVPROF is profiling process 4803, command: ./matrixMul_org
==4803== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4803== Profiling application: ./matrixMul_org
==4803== Profiling result:
"Device","Context","Stream","Kernel","Correlation_ID","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_executed","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","pcie_total_data_transmitted","pcie_total_data_received","inst_executed_global_loads","inst_executed_local_loads","inst_executed_shared_loads","inst_executed_surface_loads","inst_executed_global_stores","inst_executed_local_stores","inst_executed_shared_stores","inst_executed_surface_stores","inst_executed_global_atomics","inst_executed_global_reductions","inst_executed_surface_atomics","inst_executed_surface_reductions","inst_executed_shared_atomics","inst_executed_tex_ops","l2_global_load_bytes","l2_local_load_bytes","l2_surface_load_bytes","l2_local_global_store_bytes","l2_global_reduction_bytes","l2_global_atomic_store_bytes","l2_surface_store_bytes","l2_surface_reduction_bytes","l2_surface_atomic_store_bytes","global_load_requests","local_load_requests","surface_load_requests","global_store_requests","local_store_requests","surface_store_requests","global_atomic_requests","global_reduction_requests","surface_atomic_requests","surface_reduction_requests","sysmem_read_bytes","sysmem_write_bytes","l2_tex_hit_rate","texture_load_requests","unique_warps_launched","sm_efficiency","achieved_occupancy","ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput","dram_read_bytes","dram_write_bytes"
,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,GB/s,GB/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s,,
"Quadro P6000 (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",1,966.000000,100.000000,100.000000,99.792961,0.001006,1.200000,1.000000,0.000000,0.000000,16.000016,4.000000,128000,3072000,0,0,2048002,25600,0,5,512096,25613,0.000000,0.000000,161.214477,8.060724,161.214477,8.060724,0.000000,50.000000,100.000000,100.000000,161.214477,161.214477,8.060724,161.244705,8.064817,0.000000,1.612144,0.000000,0.000000,3869.147455,161.214477,100.000000,100.000000,512000,0,0,0,0,131072000,0,65536000,0,0,6182400,6188160,"Low (1)",3.181863,42.291168,8.236890,0.000000,19.015770,22.707333,0.400565,2.918144,70.000000,65536000,0,28467200,0,2048000,94412800,6963200,0,4240640,76800,76800,3526400,3251200,0,0.000000,0.000000,0,512000,0.016311,1.231956,25600,0,0,0,0,0,"Idle (0)","Low (1)",512,0,128000,0,2560000,0,6400,0,128000,0,0,0,0,0,0,0,16384000,0,0,819200,0,0,0,0,0,512000,0,0,25600,0,0,0,0,0,0,0,160,100.000000,0,6400,91.604897,0.948049,1.603562,1.601081,27.429839,1.842141,"Low (1)","Low (1)","High (8)","Mid (4)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,11.803694,0.000000,0,13,0.000000,0.004093,"Low (1)","Idle (0)",0,0.000000,0,416
"Quadro P6000 (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",2,966.000000,100.000000,100.000000,99.792961,0.000932,1.200000,1.000000,0.000000,0.000000,16.000016,4.000000,128000,3072000,0,0,2048002,25600,0,5,512096,25613,0.000000,0.000000,161.393521,8.069676,161.393521,8.069676,0.000000,50.000000,100.000000,100.000000,161.393521,161.393521,8.069676,161.423782,8.073774,0.000000,1.613935,0.000000,0.000000,3873.444507,161.393521,100.000000,100.000000,512000,0,0,0,0,131072000,0,65536000,0,0,6182400,6188160,"Low (1)",2.983632,42.847133,7.033523,0.000000,19.374592,23.371524,0.266036,2.852406,70.000000,65536000,0,28467200,0,2048000,94412800,6963200,0,4240640,76800,76800,3526400,3251200,0,0.000000,0.000000,0,512000,0.018709,1.252446,25600,0,0,0,0,0,"Idle (0)","Low (1)",512,0,128000,0,2560000,0,6400,0,128000,0,0,0,0,0,0,0,16384000,0,0,819200,0,0,0,0,0,512000,0,0,25600,0,0,0,0,0,0,0,160,100.000000,0,6400,91.444995,0.945943,1.596864,1.577476,27.025980,1.814024,"Low (1)","Low (1)","High (8)","Mid (4)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,12.094326,0.000000,16,8,0.005044,0.002522,"Low (1)","Idle (0)",0,0.000000,512,256
"Quadro P6000 (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",3,966.000000,100.000000,100.000000,99.792961,0.000932,1.200000,1.000000,0.000000,0.000000,16.000016,4.000000,128000,3072000,0,0,2048002,25600,0,5,512112,25613,0.000000,0.000000,161.682533,8.084127,161.682533,8.084127,0.000000,50.000000,100.000000,100.000000,161.682533,161.682533,8.084127,161.717901,8.088232,0.000000,1.616825,0.000000,0.000000,3880.380795,161.682533,100.000000,100.000000,512000,0,0,0,0,131072000,0,65536000,0,0,6182400,6188326,"Low (1)",3.044229,42.174422,8.221040,0.000000,19.410816,22.830891,0.256182,2.830572,70.000000,65536000,0,28467200,0,2048000,94412800,6963200,0,4240806,76800,76800,3526400,3251200,0,0.000000,0.000000,0,512000,0.019058,1.212790,25600,0,0,0,0,0,"Idle (0)","Low (1)",512,0,128000,0,2560000,0,6400,0,128000,0,0,0,0,0,0,0,16384000,0,0,819200,0,0,0,0,0,512000,0,0,25600,0,0,0,0,0,0,0,160,100.000000,0,6400,91.660383,0.943580,1.598650,1.603643,27.474069,1.832983,"Low (1)","Low (1)","High (8)","Mid (4)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,12.110146,0.000000,0,0,0.000000,0.000000,"Idle (0)","Idle (0)",0,0.000000,0,0
"Quadro P6000 (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",4,966.000000,100.000000,100.000000,99.792961,0.000961,1.200000,1.000000,0.000000,0.000000,16.000016,4.000000,128000,3072000,0,0,2048002,25600,0,5,512112,25613,0.000000,0.000000,161.439625,8.071981,161.439625,8.071981,0.000000,50.000000,100.000000,19.484375,161.439625,161.439625,8.071981,161.474940,8.076080,0.000000,1.614396,0.000000,0.000000,3874.551007,161.439625,100.000000,100.000000,512000,0,0,0,0,131072000,0,65536000,0,0,6182400,6188343,"Low (1)",3.070875,43.005561,6.880461,0.000000,19.397722,23.155199,0.391405,2.865671,70.000000,65536000,0,28467200,0,2048000,94412800,6963200,0,4240823,76800,76800,3526400,3251200,0,0.000000,0.000000,0,512000,0.018273,1.214834,25600,0,0,0,0,0,"Idle (0)","Low (1)",512,0,128000,0,2560000,0,6400,0,128000,0,0,0,0,0,0,0,16384000,0,0,819200,0,0,0,0,0,512000,0,0,25600,0,0,0,0,0,0,0,160,96.165923,0,6400,91.084046,0.946324,1.594825,1.596359,27.349300,1.823979,"Low (1)","Low (1)","High (8)","Mid (4)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,12.166231,0.000000,0,12,0.000000,0.003784,"Low (1)","Idle (0)",0,0.000000,0,384
"Quadro P6000 (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",5,966.000000,100.000000,100.000000,99.792961,0.000932,1.200000,1.000000,0.000000,0.000000,16.000016,4.000000,128000,3072000,0,0,2048002,25600,0,5,512496,25613,0.000000,0.000000,161.711663,8.085583,161.711663,8.085583,0.000000,50.000000,100.000000,100.000000,161.711663,161.711663,8.085583,161.868321,8.089689,0.000000,1.617116,0.000000,0.000000,3881.079903,161.711663,100.000000,100.000000,512000,0,0,0,0,131072000,0,65536000,0,0,6182400,6188675,"Low (1)",2.997153,43.138642,6.941874,0.000000,19.554394,23.005283,0.265847,2.829033,70.000000,65536000,0,28467200,0,2048000,94412800,6963200,0,4241127,76800,76800,3526400,3251200,0,0.000000,0.000000,0,512000,0.019257,1.248516,25600,0,0,0,0,0,"Idle (0)","Low (1)",512,0,128000,0,2560000,0,6400,0,128000,0,0,0,0,0,0,0,16384000,0,0,819200,0,0,0,0,0,512000,0,0,25600,0,0,0,0,0,0,0,160,100.000000,0,6400,91.609574,0.943616,1.603112,1.586670,27.183805,1.818880,"Low (1)","Low (1)","High (8)","Mid (4)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,12.162892,0.000000,0,8,0.000000,0.002527,"Low (1)","Idle (0)",0,0.000000,0,256
"Quadro P6000 (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",6,966.000000,100.000000,100.000000,99.792961,0.000960,1.200000,1.000000,0.000000,0.000000,16.000016,4.000000,128000,3072000,0,0,2048002,25600,0,5,513176,25613,0.000000,0.000000,161.523363,8.076168,161.523363,8.076168,0.000000,50.000000,100.000000,100.000000,161.523363,161.523363,8.076168,161.894362,8.080269,0.000000,1.615233,0.000000,0.000000,3876.560714,161.523363,100.000000,100.000000,512000,0,0,0,0,131072000,0,65536000,0,0,6182400,6188337,"Low (1)",2.980583,42.886892,6.908076,0.000000,19.582035,23.223265,0.259730,2.909744,70.000000,65536000,0,28467200,0,2048000,94412800,6963200,0,4240817,76800,76800,3526400,3251200,0,0.000000,0.000000,0,512000,0.015873,1.233801,25600,0,0,0,0,0,"Idle (0)","Low (1)",512,0,128000,0,2560000,0,6400,0,128000,0,0,0,0,0,0,0,16384000,0,0,819200,0,0,0,0,0,512000,0,0,25600,0,0,0,0,0,0,0,160,100.000000,0,6400,91.508854,0.945522,1.587461,1.603701,27.475087,1.808459,"Low (1)","Low (1)","High (8)","Mid (4)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,12.154707,0.000000,13553,22352,4.275637,7.051504,"Low (1)","Idle (0)",0,0.000000,433696,715264
"Quadro P6000 (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",7,966.000000,100.000000,100.000000,99.792961,0.000960,1.200000,1.000000,0.000000,0.000000,16.000016,4.000000,128000,3072000,0,0,2048002,25600,0,5,512096,25613,0.000000,0.000000,161.593496,8.079675,161.593496,8.079675,0.000000,50.000000,97.282031,100.000000,161.593496,161.593496,8.079675,161.623795,8.083778,0.000000,1.615934,0.000000,0.000000,3878.243908,161.593496,100.000000,100.000000,512000,0,0,0,0,131072000,0,65536000,0,0,6182400,6188160,"Low (1)",3.013404,42.777196,6.923546,0.000000,19.815796,23.076683,0.300419,2.821167,70.000000,65536000,0,28467200,0,2048000,94412800,6963200,0,4240640,76800,76800,3526400,3251200,0,0.000000,0.000000,0,512000,0.016488,1.255301,25600,0,0,0,0,0,"Idle (0)","Low (1)",0,0,128000,0,2560000,0,6400,0,128000,0,0,0,0,0,0,0,16384000,0,0,819200,0,0,0,0,0,512000,0,0,25600,0,0,0,0,0,0,0,160,97.411458,0,6400,91.765460,0.944847,1.605276,1.583089,27.121593,1.817725,"Low (1)","Low (1)","High (8)","Mid (4)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,12.087117,0.000000,0,0,0.000000,0.000000,"Idle (0)","Idle (0)",0,0.000000,0,0
"Quadro P6000 (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",8,966.000000,100.000000,100.000000,99.792961,0.000932,1.200000,1.000000,0.000000,0.000000,16.000016,4.000000,128000,3072000,0,0,2048002,25600,0,5,512096,25613,0.000000,0.000000,161.086832,8.054342,161.086832,8.054342,0.000000,50.000000,100.000000,100.000000,161.086832,161.086832,8.054342,161.117036,8.058432,0.000000,1.610868,0.000000,0.000000,3866.083965,161.086832,100.000000,100.000000,512000,0,0,0,0,131072000,0,65536000,0,0,6182400,6188160,"Low (1)",2.970901,43.100892,6.987733,0.000000,19.573648,22.961477,0.256732,2.890265,70.000000,65536000,0,28467200,0,2048000,94412800,6963200,0,4240640,76800,76800,3526400,3251200,0,0.000000,0.000000,0,512000,0.019071,1.239280,25600,0,0,0,0,0,"Idle (0)","Low (1)",512,0,128000,0,2560000,0,6400,0,128000,0,0,0,0,0,0,0,16384000,0,0,819200,0,0,0,0,0,512000,0,0,25600,0,0,0,0,0,0,0,160,100.000000,0,6400,91.951870,0.945263,1.585195,1.586672,27.182976,1.813670,"Low (1)","Low (1)","High (8)","Mid (4)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,11.963553,0.000000,0,8,0.000000,0.002517,"Low (1)","Idle (0)",0,0.000000,0,256
"Quadro P6000 (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",9,966.000000,100.000000,100.000000,99.792961,0.000932,1.200000,1.000000,0.000000,0.000000,16.000016,4.000000,128000,3072000,0,0,2048002,25600,0,5,512096,25613,0.000000,0.000000,161.713376,8.085669,161.713376,8.085669,0.000000,50.000000,97.154687,100.000000,161.713376,161.713376,8.085669,161.743698,8.089775,0.000000,1.617133,0.000000,0.000000,3881.121035,161.713376,100.000000,100.000000,512000,0,0,0,0,131072000,0,65536000,0,0,6182400,6188160,"Low (1)",2.972730,42.774290,6.908362,0.000000,19.713096,23.327686,0.264186,2.796099,70.000000,65536000,0,28467200,0,2048000,94412800,6963200,0,4240640,76800,76800,3526400,3251200,0,0.000000,0.000000,0,512000,0.018637,1.224914,25600,0,0,0,0,0,"Idle (0)","Low (1)",512,0,128000,0,2560000,0,6400,0,128000,0,0,0,0,0,0,0,16384000,0,0,819200,0,0,0,0,0,512000,0,0,25600,0,0,0,0,0,0,0,160,97.290179,0,6400,91.507571,0.947381,1.601145,1.600682,27.423000,1.826474,"Low (1)","Low (1)","High (8)","Mid (4)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,12.177878,0.000000,0,0,0.000000,0.000000,"Idle (0)","Idle (0)",0,0.000000,0,0
